TrainTraxx,JRMI
#ffffff,White
#fff,White
#000000,Black
#000,Black
#ff0000,Red
#f00,Red
#a52a2a,Red
#800000,Red
#880000,Red
#800,Red
#ff1493,Red
#00ff00,Green
#0f0,Green
#2f4f4f,Green
#98fb98,Green
#32cd32,Green
#008800,Green
#080,Green
#9acd32,Green
#0000ff,Blue
#00f,Blue
#2a67b7,Blue
#808000,Brown
#cd853f,Brown
#a0522d,Brown
#d2b48c,Brown
#808080,Gray
#7c7373,Gray
#cccccc,Gray
#ccc,Gray
#d3d3d3,Gray
#a9a9a9,Gray
#ff8c00,Orange
#ff9900,Orange
#9400d3,Purple
#4b0082,Purple
#438d4b,Purple
#c0c0c0,Silver
#a0522d,Tuscan
#ffff00,Yellow
#ff0,Yellow
#ffd700,Yellow
#f5deb3,Yellow